Poll,Date,Sample,Biden,Sanders,Warren,Bloomberg,Buttigieg,Klobuchar,Yang,Stayer,Gabbard,Bennet,Patrick,Spread
RCPAverage,3/24 - 4/7,--,60.3,32.0,Biden +28.3
CNNCNN,4/3 - 4/6,462 RV,65,30,Biden +35
Economist/YouGovYouGov,4/5 - 4/7,586 RV,62,32,Biden +30
Morning ConsultM. Consult,3/30 - 4/5,13346 RV,61,36,Biden +25
IBD/TIPPIBD/TIPP,3/29 - 4/1,447 RV,62,30,Biden +32
The Hill/HarrisXThe Hill,3/29 - 3/30,425 RV,54,32,Biden +22
Harvard-HarrisHarris,3/24 - 3/26,903 RV,58,32,Biden +26
60.3Biden +28.3,32.0Sanders ,--Warren ,--Bloomberg 
--Buttigieg ,--Klobuchar ,--Harris ,--O'Rourke 
--Yang ,--Gabbard ,--Booker ,--Steyer 
,
RCPAverage,3/24 - 4/7,--,60.3,32.0,Biden +28.3
CNNCNN,4/3 - 4/6,462 RV,65,30,Biden +35
Economist/YouGovYouGov,4/5 - 4/7,586 RV,62,32,Biden +30
Morning ConsultM. Consult,3/30 - 4/5,13346 RV,61,36,Biden +25
IBD/TIPPIBD/TIPP,3/29 - 4/1,447 RV,62,30,Biden +32
Economist/YouGovYouGov,3/29 - 3/31,573 LV,55,40,Biden +15
The Hill/HarrisXThe Hill,3/29 - 3/30,425 RV,54,32,Biden +22
Morning ConsultM. Consult,3/23 - 3/29,15101 RV,61,36,Biden +25
Harvard-HarrisHarris,3/24 - 3/26,903 RV,58,32,Biden +26
ABC News/Wash PostABC/WP,3/22 - 3/25,388 RV,55,39,Biden +16
Economist/YouGovYouGov,3/22 - 3/24,547 LV,57,39,Biden +18
Reuters/IpsosReuters,3/18 - 3/24,1981 RV,53,34,Biden +19
Morning ConsultM. Consult,3/16 - 3/22,16180 LV,60,36,Biden +24
EmersonEmerson,3/18 - 3/19,519 RV,54,42,Biden +12
Economist/YouGovYouGov,3/15 - 3/17,551 LV,57,36,Biden +21
Reuters/IpsosReuters,3/13 - 3/16,458 RV,48,39,Biden +9
The Hill/HarrisXThe Hill,3/14 - 3/15,894 RV,55,31,Biden +24
Politico/Morning ConsultPolitico,3/11 - 3/15,8869 LV,58,37,Biden +21
NBC News/Wall St. JrnlNBC/WSJ,3/11 - 3/13,438 LV,61,32,Biden +29
Politico/Morning ConsultPolitico,3/11 - 3/11,2072 LV,59,35,Biden +24
Economist/YouGovYouGov,3/8 - 3/10,573 RV,53,38,Biden +15
The Hill/HarrisXThe Hill,3/8 - 3/9,442 RV,55,28,Biden +27
Reuters/IpsosReuters,3/6 - 3/9,420 RV,54,33,Biden +21
QuinnipiacQuinnipiac,3/5 - 3/8,559 RV,54,35,Biden +19
Politico/Morning ConsultPolitico,3/5 - 3/8,9593 RV,56,38,Biden +18
CNNCNN,3/4 - 3/7,540 RV,52,36,Biden +16
Politico/Morning ConsultPolitico,3/5 - 3/5,1390 LV,54,38,Biden +16
Reuters/IpsosReuters,3/4 - 3/5,474 RV,45,32,Biden +13
Politico/Morning ConsultPolitico,3/2 - 3/3,961 LV,36,28,Biden +8
Economist/YouGovYouGov,3/1 - 3/3,722 RV,28,24,Biden +4
The Hill/HarrisXThe Hill,3/1 - 3/2,449 RV,28,23,Biden +5
Politico/Morning ConsultPolitico,3/1 - 3/1,2656 LV,26,29,Sanders +3
Reuters/IpsosReuters,2/28 - 3/2,469 RV,18,29,Sanders +11
Harvard-HarrisHarris,2/26 - 2/28,980 RV,20,25,Sanders +5
Politico/Morning ConsultPolitico,2/26 - 2/27,5334 LV,21,33,Sanders +12
IBD/TIPPIBD/TIPP,2/20 - 2/29,325 RV,20,23,Sanders +3
FOX NewsFOX News,2/23 - 2/26,507 LV,18,31,Sanders +13
Economist/YouGovYouGov,2/23 - 2/25,584 RV,20,30,Sanders +10
The Hill/HarrisXThe Hill,2/23 - 2/24,470 RV,17,28,Sanders +9
Reuters/IpsosReuters,2/19 - 2/25,1808 RV,17,29,Sanders +12
CBS News/YouGovCBS News,2/20 - 2/22,6498 LV,17,28,Sanders +9
EmersonEmerson,2/16 - 2/18,573 LV,22,29,Sanders +7
Economist/YouGovYouGov,2/16 - 2/18,555 LV,18,24,Sanders +6
ABC News/Wash PostABC/WP,2/14 - 2/17,408 RV,16,32,Sanders +16
NBC News/Wall St. JrnlNBC/WSJ,2/14 - 2/17,426 LV,15,27,Sanders +12
Reuters/IpsosReuters,2/14 - 2/17,385 RV,15,28,Sanders +11
SurveyUSASUSA,2/13 - 2/17,1022 LV,18,29,Sanders +11
NPR/PBS/MaristNPR/PBS,2/13 - 2/16,527 RV,15,31,Sanders +12
The Hill/HarrisXThe Hill,2/14 - 2/15,449 RV,19,22,Sanders +3